"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
21,1,3,2,NA,NA,NA,2,1997,2,NA,1,5,0,30,1,-9,2,NA,2,NA,NA,1,1,1,9.99e+10,NA,NA,15,125,1,8.325e+09,1,100,0,180,125,-9,-9,-9,-9,45,-9,100,5.55e+09,4.995e+10,-9,-9,-9,"Paraguay"
51,3,2,2,NA,NA,NA,5,1995,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,3,3.402e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,10,2,70,3e+09,NA,-9,NA,NA,"Paraguay"
52,2,1,2,NA,NA,NA,3,1986,2,NA,1,2,1,0,2,NA,2,NA,NA,NA,NA,1,1,2,6203520000,NA,NA,NA,NA,1,3.3e+07,1,100,0,17,NA,NA,NA,NA,NA,0,NA,100,448800000,NA,2.4e+07,NA,NA,"Paraguay"
50,3,2,2,NA,NA,NA,5,1998,2,NA,1,4,3,0,1,2,2,NA,NA,NA,NA,1,1,6,8e+09,NA,NA,NA,NA,1,1e+08,1,4,0,31,NA,NA,NA,NA,NA,2,3,100,1.116e+09,NA,6e+06,NA,NA,"Paraguay"
52,2,2,2,NA,NA,NA,5,1997,2,NA,1,5,1,0,2,NA,2,NA,NA,NA,NA,1,1,2,5e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0,NA,-9,1.5e+08,NA,4e+06,NA,NA,"Paraguay"
22,1,3,1,20,1,2,2,1976,2,NA,2,NA,NA,NA,1,2,2,NA,2,NA,NA,1,1,1,2.5e+10,-7,-7,50,48,1,5e+08,2,NA,0,150,45,105,0,0,45,0,NA,100,9e+09,5.5e+09,5e+08,1.7e+10,4e+10,"Paraguay"
52,2,2,2,NA,NA,NA,6,1958,2,NA,1,-9,NA,NA,1,5,2,NA,NA,NA,NA,1,1,2,-9,NA,NA,NA,NA,1,-9,NA,NA,-9,70,NA,NA,NA,NA,NA,0,NA,95,-9,NA,-9,NA,NA,"Paraguay"
15,1,2,2,NA,NA,NA,2,1998,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,6.5e+09,NA,NA,90,16,2,NA,NA,NA,NA,60,50,10,-9,-9,-9,0,NA,90,1e+09,9.75e+08,1.95e+09,6e+09,334990425600,"Paraguay"
51,3,3,2,NA,NA,NA,1,1945,2,NA,1,1,0,0,1,5,2,NA,NA,NA,NA,2,1,3,5.8e+11,NA,NA,NA,NA,2,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,100,1,100,1.45e+11,NA,4850000,NA,NA,"Paraguay"
51,3,1,2,NA,NA,NA,5,2002,2,NA,1,5,0,20,2,NA,2,NA,NA,NA,NA,1,1,3,3.5e+08,NA,NA,NA,NA,1,0,NA,NA,1.5e+07,5,NA,NA,NA,NA,NA,4,12,-9,1.44e+08,NA,6e+06,NA,NA,"Paraguay"
60,3,3,1,22,1,2,2,1997,2,NA,1,0,NA,NA,1,-9,2,NA,NA,NA,NA,1,1,6,1.016e+12,NA,NA,NA,NA,1,-9,NA,NA,0,403,NA,NA,NA,NA,NA,0,NA,100,6.5e+10,NA,8e+08,NA,NA,"Paraguay"
52,2,3,1,5,1,2,2,1946,2,NA,1,4,6,0,1,20,2,NA,NA,NA,NA,1,1,2,3.402e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,30,1,100,2.268e+10,NA,1.134e+09,NA,NA,"Paraguay"
52,2,1,2,NA,NA,NA,5,2000,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,2.8e+09,NA,NA,NA,NA,1,2e+09,1,80,0,17,NA,NA,NA,NA,NA,0,NA,100,5e+08,NA,9600000,NA,NA,"Paraguay"
25,1,2,2,NA,NA,NA,5,1999,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1.1e+10,0,0,85,24,1,5.5e+07,2,NA,0,48,45,3,2,2,41,0,NA,100,1.76e+09,4.4e+09,214500000,7.7e+09,4.4e+09,"Paraguay"
51,3,2,2,NA,NA,NA,2,1989,2,NA,1,2,5,0,2,NA,2,NA,NA,NA,NA,1,1,3,3.3e+10,NA,NA,NA,NA,1,5e+07,2,NA,-9,65,NA,NA,NA,NA,NA,0,NA,80,6e+09,NA,4e+07,NA,NA,"Paraguay"
52,2,2,2,NA,NA,NA,2,1981,2,NA,1,2,1,0,2,NA,2,NA,NA,NA,NA,1,1,2,5.67e+09,NA,NA,NA,NA,1,2e+07,2,NA,-9,40,NA,NA,NA,NA,NA,0,NA,60,1.701e+09,NA,11340000,NA,NA,"Paraguay"
51,3,3,2,NA,NA,NA,2,1991,2,NA,1,0,NA,NA,1,5,2,NA,NA,NA,NA,1,1,3,1.96e+11,NA,NA,NA,NA,1,4.35e+08,1,100,-9,236,NA,NA,NA,NA,NA,0,NA,6,1.2721e+10,NA,1.39e+08,NA,NA,"Paraguay"
