"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
60,3,3,2,NA,NA,NA,2,1958,2,NA,1,1,1,0,2,NA,2,NA,NA,NA,NA,1,1,6,4.5e+07,NA,NA,NA,NA,1,1480000,1,100,0,122,NA,NA,NA,NA,NA,0,NA,95,17500000,NA,-9,NA,NA,"Bolivia"
60,3,3,1,-9,1,1,1,2002,1,30,1,1,0,3,1,5,1,30,NA,NA,NA,1,1,6,2.1e+09,NA,NA,NA,NA,1,5.6e+08,1,100,2.1e+07,600,NA,NA,NA,NA,NA,60,6,98,1.2e+08,NA,28000000,NA,NA,"Bolivia"
55,3,2,2,NA,NA,NA,5,1991,2,NA,2,NA,NA,NA,1,20,2,NA,NA,NA,NA,1,1,5,1.1e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,20,3,100,8e+06,NA,700000,NA,NA,"Bolivia"
55,3,2,1,2,1,2,2,1998,1,-6,1,4,0,15,1,5,2,NA,NA,NA,NA,1,1,5,1.2e+07,NA,NA,NA,NA,1,490000,1,40,6.3e+07,94,NA,NA,NA,NA,NA,0,NA,100,4382040,NA,540000,NA,NA,"Bolivia"
51,3,1,2,NA,NA,NA,3,1997,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,2700000,NA,NA,NA,NA,1,21000,1,10,0,14,NA,NA,NA,NA,NA,2,3,90,864000,NA,25000,NA,NA,"Bolivia"
60,3,1,2,NA,NA,NA,5,1986,1,-9,-9,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,-9,NA,NA,NA,NA,2,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,5,1,-9,-9,NA,-9,NA,NA,"Bolivia"
52,2,1,2,NA,NA,NA,5,1999,2,NA,1,2,0,0,2,NA,2,NA,NA,NA,NA,1,1,2,1.4e+07,NA,NA,NA,NA,1,0,NA,NA,1300000,6,NA,NA,NA,NA,NA,2,3,-9,1027000,NA,2300,NA,NA,"Bolivia"
55,3,2,2,NA,NA,NA,5,1988,2,NA,1,1,3,0,2,NA,2,NA,NA,NA,NA,1,1,5,2200000,NA,NA,NA,NA,2,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,NA,3,679140,NA,-9,NA,NA,"Bolivia"
60,3,3,1,9,1,2,5,1985,1,90,1,-9,NA,NA,1,1,2,NA,NA,NA,NA,1,1,6,-9,NA,NA,NA,NA,1,4e+09,1,-9,-9,412,NA,NA,NA,NA,NA,0,NA,95,-9,NA,36000,NA,NA,"Bolivia"
55,3,3,2,NA,NA,NA,5,1992,2,NA,1,1,0,30,1,5,2,NA,NA,NA,NA,1,1,5,1.7e+07,NA,NA,NA,NA,1,1400000,1,80,3e+06,107,NA,NA,NA,NA,NA,1,6,60,7042000,NA,300000,NA,NA,"Bolivia"
