"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,1,2,NA,NA,NA,2,1991,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,16500000,NA,NA,15,44,1,210000,2,NA,380000,9,7,2,5,2,0,0,NA,3,-9,-9,-9,-9,4e+06,"Uruguay"
18,1,1,1,2,1,2,5,1996,2,NA,1,1,8,0,2,NA,2,NA,-7,NA,NA,1,1,1,9600000,NA,NA,70,40,2,NA,NA,NA,NA,10,5,5,5,0,0,4,2,50,2469794,5285382,42000,8e+06,971500,"Uruguay"
52,2,0,2,NA,NA,NA,5,1981,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,2,2,2,10150000,NA,NA,NA,NA,1,300000,1,100,0,5,NA,NA,NA,NA,NA,0,NA,50,-9,NA,48000,NA,NA,"Uruguay"
52,2,3,1,108,1,2,2,1956,1,60,1,1,1,0,1,-9,1,-9,NA,NA,NA,1,1,2,1.4e+10,NA,NA,NA,NA,1,300000000,2,NA,7500000,6000,NA,NA,NA,NA,NA,295,2,15,2.7e+09,NA,17000000,NA,NA,"Uruguay"
52,2,2,2,NA,NA,NA,5,1989,2,NA,1,2,0,0,2,NA,2,NA,NA,NA,NA,1,2,2,50880550,NA,NA,NA,NA,1,230000,1,100,8550000,20,NA,NA,NA,NA,NA,0,NA,10,12522000,NA,600000,NA,NA,"Uruguay"
52,2,1,1,2,1,1,5,1987,2,NA,1,1,2,0,2,NA,2,NA,NA,NA,NA,1,2,2,28246000,NA,NA,NA,NA,1,600000,2,NA,0,11,NA,NA,NA,NA,NA,0,NA,5,7975998,NA,68420,NA,NA,"Uruguay"
50,2,1,2,NA,NA,NA,3,1985,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,-9,NA,NA,NA,NA,1,600000,1,50,0,10,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Uruguay"
52,1,1,2,NA,NA,NA,2,2000,2,NA,2,NA,NA,NA,2,NA,2,NA,-9,NA,NA,1,1,1,104131000,NA,NA,-9,-9,2,NA,NA,NA,NA,5,-9,-9,-9,-9,-9,0,NA,100,10700000,-9,54812,-9,-9,"Uruguay"
15,1,2,2,NA,NA,NA,5,1996,1,1,1,1,2,0,1,1,2,NA,2,NA,NA,1,2,1,-9,NA,NA,70,168,1,350000,1,30,0,70,40,30,10,25,5,0,NA,20,-9,-9,900000,-9,-9,"Uruguay"
52,2,1,2,NA,NA,NA,2,1961,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,4.8e+07,NA,NA,NA,NA,1,1808000,1,100,0,17,NA,NA,NA,NA,NA,0,NA,30,6508000,NA,239000,NA,NA,"Uruguay"
52,2,2,1,8,2,NA,2,2002,1,7,1,1,3,0,2,NA,1,-6,NA,NA,NA,1,1,2,97132532,NA,NA,NA,NA,1,100000,2,NA,0,42,NA,NA,NA,NA,NA,0,NA,100,34132000,NA,560500,NA,NA,"Uruguay"
52,2,2,2,NA,NA,NA,2,2001,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,2.44e+08,NA,NA,NA,NA,1,9000000,2,NA,9e+06,57,NA,NA,NA,NA,NA,0,NA,80,32500000,NA,1200000,NA,NA,"Uruguay"
52,2,2,2,NA,NA,NA,2,1992,2,NA,1,2,16,0,1,100,2,NA,NA,NA,NA,1,2,2,76718000,NA,NA,NA,NA,2,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,0,NA,-9,-9,NA,1497702,NA,NA,"Uruguay"
52,2,1,2,NA,NA,NA,2,1954,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,15500000,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,NA,-9,4530000,NA,156500,NA,NA,"Uruguay"
51,3,2,2,NA,NA,NA,2,2000,2,NA,2,NA,NA,NA,2,NA,1,20,NA,NA,NA,1,1,3,3.5e+08,NA,NA,NA,NA,1,6000000,2,NA,0,50,NA,NA,NA,NA,NA,0,NA,65,6e+07,NA,520000,NA,NA,"Uruguay"
15,1,2,2,NA,NA,NA,2,2004,2,NA,1,2,0,0,1,0,2,NA,1,0,NA,1,2,1,-9,0,0,60,30,1,2500000,1,5,0,90,75,15,10,30,35,25,5,-9,-9,-9,18000000,-9,-9,"Uruguay"
24,1,3,1,3,1,2,2,1999,1,-9,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,7590680631,0,0,90,168,2,NA,NA,NA,NA,390,280,-9,-9,-9,-9,-9,NA,-9,703338752,3734749596,86755280,6047093052,-9,"Uruguay"
25,1,2,2,NA,NA,NA,2,1953,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,111337467,0,0,60,144,1,2000000,2,NA,0,94,60,34,10,20,30,0,NA,40,5.4e+07,2e+07,5000000,8e+07,6e+07,"Uruguay"
25,1,3,2,NA,NA,NA,2,1994,2,NA,1,-9,NA,NA,2,NA,2,NA,-7,NA,NA,1,1,1,3e+06,0,0,65,168,2,NA,NA,NA,NA,325,180,145,40,60,80,0,NA,60,360000,210000,1650000,2.7e+09,1500000,"Uruguay"
21,1,3,2,NA,NA,NA,2,1980,1,7,1,3,0,0,2,NA,2,NA,2,NA,NA,1,1,1,4.7e+08,0,0,-9,96,1,78000000,1,40,0,200,160,40,60,50,50,0,NA,-9,1.46e+08,1.5e+08,10000000,4e+08,2.3e+08,"Uruguay"
24,1,3,1,-9,1,1,2,1945,-9,NA,2,NA,NA,NA,2,NA,-9,NA,2,NA,NA,1,1,1,194700000,0,0,80,120,1,15000000,2,NA,0,32,90,105,-9,-9,-9,15,12,-9,42500000,1.092e+09,10000000,2.194e+09,4e+08,"Uruguay"
45,3,3,2,NA,NA,NA,2,1990,2,NA,1,1,6,0,1,0,1,30,NA,NA,NA,1,1,6,2.8e+08,NA,NA,NA,NA,1,1800000,1,20,0,200,NA,NA,NA,NA,NA,0,NA,-9,1.56e+08,NA,204000,NA,NA,"Uruguay"
