"","Sector.Detail","Sector","Sales.Nominal","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Capital.Value","Country"
"478",15,1,8.4e+07,3.4e+07,4e+07,1e+06,2.5e+07,"Argentina"
"484",15,1,1.61e+08,7700000,1.3e+08,1250000,5e+07,"Argentina"
"486",15,1,2833235,1362882,327000,18000,2200000,"Argentina"
"496",15,1,4e+06,15,5e+06,120000,1e+06,"Argentina"
"498",15,1,1.6e+07,6500000,5500000,220000,1e+07,"Argentina"
"499",15,1,1e+07,4e+06,3500000,25000,1e+07,"Argentina"
"505",15,1,21472000,6500000,10170000,330000,1e+07,"Argentina"
"506",15,1,1e+08,8e+06,3e+07,4e+05,2e+07,"Argentina"
"513",18,1,9.2e+07,36300000,27300000,750000,4.4e+07,"Argentina"
"516",18,1,9.8e+07,3.5e+07,4.5e+07,1e+06,3.5e+07,"Argentina"
"518",17,1,6500000,660000,4e+06,216000,5760000,"Argentina"
"522",17,1,3.5e+07,1.7e+07,1800000,7e+05,4e+07,"Argentina"
"526",17,1,4860000,1638000,2358000,21600,2336000,"Argentina"
"527",17,1,7e+05,150000,150000,35000,2500000,"Argentina"
"532",18,1,97182965,2.5e+07,7e+07,60000,3e+06,"Argentina"
"533",18,1,7058233,2230322,2620440,18737,2e+06,"Argentina"
"534",18,1,1.5e+07,8e+05,1e+07,450000,4.5e+07,"Argentina"
"538",18,1,6.03e+08,1.65e+08,1.42e+08,2e+06,1.4e+07,"Argentina"
"544",17,1,3e+06,350000,1100000,4e+05,1500000,"Argentina"
"547",18,1,1.77e+08,3.4e+07,1.3e+07,4e+05,7e+05,"Argentina"
"548",18,1,2e+07,4e+06,5e+06,80000,8e+06,"Argentina"
"557",18,1,8e+06,1e+06,2e+06,26000,1e+06,"Argentina"
"558",17,1,9600000,2200000,3e+06,26000,3e+07,"Argentina"
"562",25,1,3950000,1781000,1500000,29300,356500,"Argentina"
"563",20,1,3e+06,1800000,1200000,60000,7500000,"Argentina"
"564",36,1,35644103,4907613,29923169,58091,2e+06,"Argentina"
"565",21,1,1.8e+07,5e+06,7e+06,6e+05,4e+06,"Argentina"
"569",22,1,3.2e+07,9e+06,17500000,840000,3.6e+07,"Argentina"
"574",24,1,1.8e+07,7200000,1.7e+07,5e+05,2e+07,"Argentina"
"581",25,1,67177000,1.2e+07,50360000,8e+05,1e+07,"Argentina"
"591",18,1,2.4e+08,27877474,141741346,1200000,2.5e+08,"Argentina"
"600",26,1,1.5e+07,6e+05,5e+05,750000,1e+07,"Argentina"
"602",28,1,4.8e+07,10200000,3.3e+07,1200000,9e+06,"Argentina"
"606",28,1,9e+06,4e+06,4500000,60000,3500000,"Argentina"
"613",28,1,1.05e+08,3.5e+07,1.7e+07,8e+05,12326000,"Argentina"
"614",28,1,3.744e+09,999999,999999,999999,5e+07,"Argentina"
"621",29,1,8e+06,2500000,4800000,1e+05,1e+06,"Argentina"
"625",29,1,5e+07,9e+06,1.4e+07,90000,1e+07,"Argentina"
"626",29,1,2e+06,7e+05,6e+05,40000,1400000,"Argentina"
"628",31,1,12250000,4e+06,7e+06,14000,7e+05,"Argentina"
"630",28,1,3e+06,8e+05,1200000,35000,1e+06,"Argentina"
"631",28,1,7500000,4e+06,1800000,60000,1.3e+07,"Argentina"
"637",34,1,5.38e+08,109500000,3.07e+08,2360000,4e+08,"Argentina"
"640",24,1,1.4e+07,2500000,4500000,26000,6e+05,"Argentina"
"643",22,1,2.1e+07,5036021,9129537,79000,5e+06,"Argentina"
"646",15,1,4100000,1380000,1830000,11500,1500000,"Argentina"
"1",15,1,7e+07,2e+07,3.2e+07,1300000,1.2e+08,"Bolivia"
"2",15,1,9e+07,25800000,4.3e+07,8e+05,8e+07,"Bolivia"
"5",28,1,3e+05,3e+05,84000,4200,5e+05,"Bolivia"
"6",21,1,208800000,2.8e+07,1.12e+08,2300000,1.6e+08,"Bolivia"
"83",22,1,2.7e+07,5e+06,4e+06,5e+05,3700000,"Bolivia"
"12",24,1,7.7e+07,16940000,21021000,975975,5.6e+08,"Bolivia"
"161",15,1,2.2e+07,3200000,1.2e+07,240000,5.8e+07,"Bolivia"
"17",18,1,240000,84600,56448,43200,210000,"Bolivia"
"18",28,1,1500000,450000,650000,8000,2e+06,"Bolivia"
"19",15,1,7e+07,17000005,3.5e+07,5e+05,1e+08,"Bolivia"
"20",26,1,7e+06,2940006,3e+05,39600,6e+06,"Bolivia"
"21",24,1,21747773,10741000,4897300,7820,2e+07,"Bolivia"
"25",15,1,7e+06,2784000,4e+05,20000,3200000,"Bolivia"
"26",31,1,8242000,1e+06,4e+06,6000,3e+06,"Bolivia"
"28",22,1,13600000,6e+06,5e+06,360000,2e+06,"Bolivia"
"30",24,1,187920000,37651200,78926400,2255040,9e+05,"Bolivia"
"331",15,1,1.19e+08,10500000,1.26e+08,840000,8.4e+07,"Bolivia"
"401",28,1,12900000,6e+06,8e+06,40000,4e+06,"Bolivia"
"411",15,1,720000,3e+05,80000,36000,5e+05,"Bolivia"
"541",15,1,8e+06,2e+06,3200000,15000,7e+06,"Bolivia"
"57",18,1,50000,42000,20000,3500,3e+05,"Bolivia"
"611",24,1,187920000,37651200,78926400,2255040,9e+05,"Bolivia"
"622",24,1,7200000,840000,5e+06,36000,1.5e+07,"Bolivia"
"63",34,1,19500000,1570000,13650000,6e+05,3e+06,"Bolivia"
"661",25,1,1.2e+08,15600000,6.7e+07,2770000,1.37e+08,"Bolivia"
"67",24,1,9e+07,6e+06,7200000,2e+05,3.5e+07,"Bolivia"
"70",20,1,6e+05,228000,180000,600,2527000,"Bolivia"
"711",17,1,50000,25000,10000,12000,490000,"Bolivia"
"72",22,1,250000,1e+05,120000,10000,3e+06,"Bolivia"
"74",20,1,130000,60000,380000,3000,1190000,"Bolivia"
"761",28,1,1.8e+07,1800000,1.4e+07,168000,2100000,"Bolivia"
"80",24,1,6.4e+08,9.7e+07,1.53e+08,50000,2.1e+08,"Bolivia"
"82",28,1,208800,70000,70000,12000,382800,"Bolivia"
"85",29,1,3300000,5e+05,1e+06,26000,4410000,"Bolivia"
"86",20,1,4e+05,150000,60000,3600,100350,"Bolivia"
"87",28,1,180000,79000,150000,600,35000,"Bolivia"
"88",36,1,1400000,560000,8e+06,140000,1e+06,"Bolivia"
"89",31,1,1740000,850000,240000,12000,2080000,"Bolivia"
"901",22,1,23500000,3e+06,6e+06,3e+05,3500000,"Bolivia"
"911",15,1,103800000,17511060,1e+08,1038000,6.92e+08,"Bolivia"
"971",26,1,606554740,88359706,181966422,19409752,1576712731,"Bolivia"
"981",18,1,280000,60000,40000,12000,1e+05,"Bolivia"
"1001",28,1,250000,10000,200400,4000,175000,"Bolivia"
"102",18,1,20000,8000,30000,600,70000,"Bolivia"
"103",18,1,152000,43000,15000,1540,50000,"Bolivia"
"1041",18,1,560000,26000,120000,14400,230000,"Bolivia"
"1051",27,1,2e+07,864000,1.4e+07,24000,3e+05,"Bolivia"
"1061",25,1,2500000,250000,960000,18000,2e+06,"Bolivia"
"1071",28,1,59671015,7311140,3583053,339278,5e+07,"Bolivia"
"110",26,1,1.2e+07,1e+06,1e+06,1e+05,10000,"Bolivia"
"1121",36,1,90000,40000,17000,336,30000,"Bolivia"
"113",26,1,20000,6000,6000,960,315000,"Bolivia"
"116",28,1,3e+05,40000,60000,1500,110720,"Bolivia"
"114",24,1,38957625,3888913,4259880,117361,1698971,"Ecuador"
"27",28,1,478000,222000,26000,3600,227632,"Ecuador"
"3",25,1,4e+06,394000,2600000,3e+05,3e+06,"Ecuador"
"4",24,1,1.6e+07,1722301,2447639,140000,1.7e+07,"Ecuador"
"510",21,1,1.1e+08,8085175,7.2e+07,2493446,62217,"Ecuador"
"610",25,1,515854,170400,164169,3429,250000,"Ecuador"
