"Country.Name","Country.Code","Year","AG.AGR.TRAC.NO","AG.CON.FERT.PT.ZS","AG.CON.FERT.ZS","AG.LND.AGRI.K2","AG.LND.ARBL.HA","AG.LND.ARBL.ZS","AG.LND.CREL.HA","AG.LND.CROP.ZS","AG.LND.EL5M.RU.K2","AG.LND.FRST.K2","AG.LND.IRIG.AG.ZS","AG.LND.PRCP.MM","AG.LND.TOTL.K2","AG.LND.TOTL.RU.K2","AG.PRD.CREL.MT","AG.SRF.TOTL.K2","AG.YLD.CREL.KG","EN.ATM.METH.AG.KT.CE","EN.ATM.NOXE.AG.KT.CE","ER.H2O.FWAG.ZS","NV.AGR.TOTL.CD","NV.AGR.TOTL.ZS","SL.AGR.EMPL.ZS","SP.RUR.TOTL","SL.EMP.TOTL.SP.ZS","SP.POP.65UP.TO","SP.POP.1564.TO","TX.VAL.AGRI.ZS.UN","ER.H2O.FWTL.K3","SL.EMP.TOTL.SP.MA.NE.ZS","SL.EMP.1524.SP.ZS","SL.EMP.1524.SP.NE.ZS","SP.POP.0014.TO","SP.POP.TOTL"
"British Virgin Islands","VGB",1990,NA,NA,NA,80,2000,13.3333333333333,NA,6.66666666666667,42.1680069,37.1,NA,NA,150,106.7865906,NA,150,NA,10.9799896379259,4.34766971,NA,NA,NA,NA,10236,NA,NA,NA,NA,NA,NA,NA,NA,NA,16461
"Brunei Darussalam","BRN",1990,NA,NA,NA,110,2000,0.379506641366224,600,0.759013282732448,6.885975838,4130,NA,NA,5270,4743.62207,930,5770,1550,12.5193081130606,67.91699294,NA,34013517.2413793,0.966141670584548,NA,88419,NA,6839,162325,0.00597312402974332,NA,NA,NA,NA,89621,258785
"Bulgaria","BGR",1990,52375,NA,NA,61590,3856000,34.8549218114436,2055264,2.71174184217662,143.3030243,33270,NA,NA,110630,103838.0078,8125944,110990,3953.7,5499.03899010906,5705.433998,29.69,3661363636.36364,17.026718525408,NA,2931350,NA,1145891,5798494,NA,7.494,NA,NA,NA,1773905,8718289
"Burkina Faso","BFA",1990,840,NA,NA,95750,3505000,12.8106725146199,2528900,0.255847953216374,NA,68470,NA,NA,273600,NA,1517900,274220,600.2,5136.66258368015,3762.226991,NA,866814538.572206,29.1413895234519,NA,7593790,NA,289258,4358278,NA,NA,NA,NA,NA,4163498,8811034
"Burundi","BDI",1990,163,NA,NA,21100,930000,36.214953271028,217500,14.018691588785,NA,2890,NA,NA,25680,NA,293300,27830,1348.5,514.126622263334,492.18669,NA,578015240.430936,55.8787002957979,NA,5075814,NA,167415,2678597,NA,NA,NA,NA,NA,2569403,5415415
"Cabo Verde","CPV",1990,29,NA,NA,680,41000,10.1736972704715,34124,0.496277915632754,133.9038696,577.5,NA,NA,4030,3913.569092,11418,4030,334.6,38.2133516122544,36.70207552,NA,44163792.4756502,NA,NA,191044,NA,14773,169778,NA,NA,NA,NA,NA,157332,341883
"Cambodia","KHM",1990,1200,NA,NA,44550,3695000,20.9324722411058,1900000,0.623158848855654,4671.187988,129440,NA,NA,176520,176298.1875,2588000,181040,1362.1,13251.4833546485,3309.2066,NA,NA,NA,NA,7578346,NA,260291,4739220,NA,NA,NA,NA,NA,3973831,8973342
"Cameroon","CMR",1990,508,NA,NA,91700,5940000,12.5658437519832,648236,2.6020181506632,153.3866577,243160,NA,NA,472710,459153.1875,816296,475440,1259.3,7720.78701417788,6970.100481,NA,2675806693.67419,24.5753914070137,NA,7069314,NA,416137,5873492,14.2875729401885,NA,NA,NA,NA,5425589,11715218
"Canada","CAN",1990,750000,NA,NA,677680,45504000,5.00400835321015,21547874,0.699509870226128,158138.75,3482730,NA,NA,9093510,9084045,56806235,9984670,2636.3,18925.8700930963,16999.37235,NA,NA,NA,NA,6508096,NA,3127122,18911127,9.05202365934364,NA,69.9000015258789,NA,61.2799987792969,5752750,27791000
"Cayman Islands","CYM",1990,NA,NA,NA,27,200,0.833333333333333,NA,2.08333333333333,7.19938612,127,NA,NA,240,64.61621094,NA,264,NA,2.46631116787368,0.851253225818,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25010
